iso3,ecoregion,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
AUS,Exmouth to Broome,402836.84191069985,11795181.108048428,442610.9745352229,388825.032918062,10607429.127722142,427604.7254770212,84.18364650262839,NA,87.19217156511489,0.5670956003800105,1221720.0536236987,-2409472.0339499842,33968.073297413066,33968.073297413066,Sellers
AGO,Gulf of Guinea South,2775.2130892071086,427.2958679199219,3059.0998038048274,9648.272258855113,16559951.70012676,12757.08119991365,4610.761087448405,NA,286.9358945563256,0.04483002230725541,1972127.3811815064,14587397.023077333,18531651.785440348,14587397.023077333,Buyers
WLF,Gilbert/Ellis Islands,16268.505257298752,34142.567291259766,20982.68444469591,13704.387450444941,20780.04459812348,17695.713319688373,2.875156073188932,NA,10.011900650995042,0.45046052837687034,25671.69273966764,-39034.215432803925,12309.170046531355,12309.170046531355,Sellers
NZL,Snares Island,62976.41075577911,1054236.4984476354,76239.39570448875,62976.41075577911,1054236.4984476354,76239.39570448875,260.1695607602836,NA,260.1695607602836,0.21202799219622215,0,0,0,0,Doesn't participate
VCT,Eastern Caribbean,13398.15645557021,24542.486755371094,14984.929007008788,21842.41109590537,253222.9164145179,24385.54805023218,56.88588272409891,NA,9.170735989340024,0.4013817998602035,77440.02993327314,151240.39972587366,306120.45959241997,151240.39972587366,Buyers
FJI,Vanuatu,182036.3644724468,129334.33111572266,202494.4623188584,140311.78031581183,54796.43998909957,155866.61908374575,0.6440835813964901,NA,7.028670045331005,0.4886412417528453,293268.3348156327,-367806.2259422558,218730.44368900964,218730.44368900964,Sellers
WSM,Samoa Islands,65175.687988556216,52125.16925048828,83844.8609018936,76513.84873759793,134369.55303588463,98236.95480667439,10.233975069566231,NA,4.152923364020971,0.29224580179290993,47086.51267972085,35157.8711056755,129330.8964651172,35157.8711056755,Buyers
NZL,Kermadec Island,354877.6429131415,343165.2375193346,404101.1146395782,354877.6429131415,343165.2375193346,404101.1146395782,1.4135011392277692,NA,1.4135011392277692,0.3287728403387741,0,0,0,0,Doesn't participate
FJI,Fiji Islands,495495.9428252472,794520.4511608318,562264.312118377,501384.58819378616,902122.0406229428,569000.4591632389,21.88416097395388,NA,16.61928563032243,0.10119573162640438,97865.07935542446,9736.510106686546,205466.6688175355,9736.510106686546,Buyers
LBR,Gulf of Guinea West,189341.3777682207,2528573.122619629,208767.4258531992,158678.55312498438,265411.1208356847,175230.21955698603,39.90210943212093,NA,234.9753304502384,0.3005597081531183,7205007.353082169,-9468169.354866114,4941845.351298224,4941845.351298224,Sellers
