iso3,global,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,pixel_fraction,rect,mkt_tc_b,mkt_tc_s,savings,transaction
LBR,Global,195219.7214409526,1619986.999572754,214942.13761011514,169393.19717002878,299755.0401670266,186759.3994723699,39.771600584941595,NA,116.45780417424845,0.2451520779797619,3007700.3060447196,-4327932.265450447,1687468.3466389924,1687468.3466389924,Sellers
GLP,Global,68229.10897291735,391925.9753417969,76613.96059145631,59478.63106558116,49824.81170906929,66971.77463064464,3.2997691456537495,NA,116.45780417424845,0.2451520779797619,1019061.4425636458,-1361162.6061963732,676960.2789309182,676960.2789309182,Sellers
GUF,Global,75808.84106783231,478709.48724365234,88558.0679440452,77622.77784992823,784202.6363214157,91011.65597147707,168.41444095134327,NA,116.45780417424845,0.2451520779797619,211247.09455379256,94246.05452397076,516740.2436315559,94246.05452397076,Buyers
PAK,Global,108692.09214739698,830995.8045043945,130217.99432882926,134313.04376598325,30404115.062878843,161469.99402014236,3585.898525236339,NA,116.45780417424845,0.2451520779797619,2983759.766355214,26589359.492019236,32556879.02472966,26589359.492019236,Buyers
PRK,Global,48150.490091618085,555408.1943969727,58846.44862039922,77560.8025795552,55527122.354464695,93902.4978570812,2702.1140350441183,NA,116.45780417424845,0.2451520779797619,3425060.4124236335,51546653.74764409,58396774.572491355,51546653.74764409,Buyers
BRA,Global,1923504.951416755,13254114.66571045,2295042.7859439254,2098509.1340207304,44727057.140455365,2506287.694216157,212.24510299137006,NA,116.45780417424845,0.2451520779797619,20380602.827368174,11092339.647376742,51853545.302113086,11092339.647376742,Buyers
LBY,Global,212575.00224701533,2215825.8943481445,277724.776137415,210611.43484556064,2007954.843282296,275363.7364787504,105.86397539083629,NA,116.45780417424845,0.2451520779797619,228672.74792154896,-436543.7989873974,20801.696855700575,20801.696855700575,Sellers
PER,Global,586467.8627468941,4350596.159301758,665819.5356811428,529137.3050761673,716062.1886722507,601341.9996629688,24.020855352582224,NA,116.45780417424845,0.2451520779797619,6676590.858417958,-10311124.829047466,3042056.887788451,3042056.887788451,Sellers
MEX,Global,1826026.035838989,14613954.427124023,2119928.49444994,1739495.0023639097,8112887.61388129,2019721.3760694158,43.59353314145236,NA,116.45780417424845,0.2451520779797619,10077214.151436128,-16578280.964678861,3576147.3381933942,3576147.3381933942,Sellers
LKA,Global,386422.0495109794,2922952.7520751953,452305.4734279874,335890.90098700236,1636495.9033854567,392719.7374831707,10.210039553582757,NA,116.45780417424845,0.2451520779797619,5884746.5995051805,-7171203.448194919,4598289.750815442,4598289.750815442,Sellers
