iso3,global,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
CIV,Global,134519.49120480413,2543775.7578125,150556.22971743922,124874.1260105868,1654873.1107704954,141346.14781219832,80.53529890736688,NA,521.603311252745,5031054.423545736,-5919957.07058774,4142151.7765037315,4142151.7765037315,Sellers
SEN,Global,104354.12638736695,2123852.177734375,113633.7074243478,108316.66571855065,8023004.706923875,119635.42012986782,1762.0659116101697,NA,521.603311252745,2066873.6361146534,3832278.893074847,7966026.165304153,3832278.893074847,Buyers
MSR,Global,2639.4597188736348,10560.8984375,2955.1053658909836,4406.592959046926,1391822.05429916,5902.628614261792,781.6395076843266,NA,521.603311252745,921742.549499181,459518.6063624789,2303003.705360841,459518.6063624789,Buyers
MRT,Global,102747.0879269296,1758284.1826171875,122892.4550682517,104577.29486304772,5387668.896028705,125815.89347091403,1983.0460926508333,NA,521.603311252745,954641.9981569527,2674742.715254565,4584026.71156847,2674742.715254565,Buyers
MYS,Global,40733.06760138509,3913861.6953125,51962.436725772015,325296.60646231,957041236.8154578,404273.0869700394,7863.923920205152,NA,521.603311252745,148429284.1316576,804698090.9884877,1101556659.251803,804698090.9884877,Buyers
KNA,Global,8068.1848946974405,1128066.5458984375,8834.764167565256,6615.911613651901,562584.9831598382,8834.764167565256,389.3768274325685,NA,521.603311252745,757510.552237242,-1322992.1149758413,192028.98949864274,192028.98949864274,Sellers
YEM,Global,357301.21535206935,13401387.217773438,414451.6842435544,364705.39552994113,18171376.357843015,423437.724918964,712.1156278849807,NA,521.603311252745,3862044.897889858,907944.2421797197,8632034.037959436,907944.2421797197,Buyers
OMN,Global,376352.50774915784,31817813.897460938,440377.6989756661,365021.19368687214,27692717.411641933,425797.27136445,255.00721394961434,NA,521.603311252745,5910450.935733016,-10035547.421552021,1785354.449914012,1785354.449914012,Sellers
STP,Global,114134.37893220728,4354530.2138671875,126140.75857720617,98106.01532618802,1010890.0436751625,110757.35324636193,18.82039806719128,NA,521.603311252745,8360447.530862638,-11704087.701054662,5016807.360670613,5016807.360670613,Sellers
GMB,Global,11241.099909164332,160241.369140625,11983.503842286425,13596.262421693502,5788030.087600114,14979.379802858031,2389.5543040110206,NA,521.603311252745,1228460.5650735497,4399328.153385939,6856249.283533039,4399328.153385939,Buyers
