iso3,province,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
USA,Cold Temperate Northeast Pacific,887048.136242073,1774675.01425457,1045583.1806319735,849588.5626890666,1609654.9828335096,1003077.0364798573,4.140218154776676,NA,4.5780703365206055,171492.56250173037,-336512.59392279084,6472.531080669956,6472.531080669956,Sellers
HND,Tropical Northwestern Atlantic,89159.13006925289,26550.410982131958,105645.20588971443,84824.78315970073,18994.771063216245,102738.93363133543,1.5955945584824285,NA,2.084526615235528,9035.061492625331,-16590.701411541042,1479.4215737096201,1479.4215737096201,Sellers
CUW,Tropical Northwestern Atlantic,19054.70052458168,4536.595888137817,20951.307459128533,15509.542446896625,258.1547188872138,17974.801882543703,0.023932440504572824,NA,2.084526615235528,7389.97636815172,-11668.417537402323,3111.535198901116,3111.535198901116,Sellers
CUB,Tropical Northwestern Atlantic,146583.93676658862,61390.44027519226,183582.12137328702,146185.39749620913,60585.92766863133,183582.12137328702,2.0186532830124033,NA,2.084526615235528,830.7657163226021,-1635.2783228835315,26.25310976167384,26.25310976167384,Sellers
GBR,Northern European Seas,136745.592809322,37379660.28115463,161346.5930651716,305014.7440401744,368790593.8989355,360386.52841092984,2465.580287584593,NA,1307.0434455112065,219935091.19801962,111475842.41976124,551346024.8158004,111475842.41976124,Buyers
TON,Tropical Southwestern Pacific,298590.3333798619,26369.355478286743,342116.714000435,203535.19558951622,3584.8896497430824,232228.92225428033,0.023579862816922696,NA,0.9079903859964108,86309.15125319798,-109093.61708174164,63524.68542465432,63524.68542465432,Sellers
GUY,North Brazil Shelf,79226.66004890187,585730.3611660004,91164.01847928701,61178.43089469978,17943.197011517397,72920.12654702722,11.043490509684888,NA,136.39965412785892,2461772.2142535057,-3029559.3784079887,1893985.0500990227,1893985.0500990227,Sellers
BRB,Tropical Northwestern Atlantic,119635.41396296886,17435.555751800537,134752.41557986516,82868.08773446866,2074.2481961229123,95755.06572336204,0.04407107965771287,NA,2.084526615235528,76642.47009435597,-92003.77765003359,61281.16253867835,61281.16253867835,Sellers
CHL,Magellanic,421120.2053398322,30184148.47421074,510226.55986641074,296498.682789036,1230791.2936744913,362204.8339728754,8.444238745692235,NA,939.0977112404895,117031786.59875773,-145985143.77929398,88078429.41822147,88078429.41822147,Sellers
ABW,Tropical Northwestern Atlantic,16242.849944317833,8485.709781646729,17891.318223256814,13993.515997282122,4209.332029946471,17891.318223256814,1.9011751266795616,NA,2.084526615235528,4688.796479148722,-8965.17423084898,412.4187274484648,412.4187274484648,Sellers
