iso3,hemisphere,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
MMR,NE,114609.71997822935,260427.8787841797,141586.380234208,103468.50473529803,210551.34266427797,129660.95618362697,3.761968952227437,NA,6.258382183096456,69725.98297440399,-119602.51909430571,19849.446854502283,19849.446854502283,Sellers
BGD,NE,18918.51596582095,36680.36975097656,23266.903243730812,22533.275483383975,84049.45969057258,29088.14138841228,13.583825525936357,NA,6.258382183096456,22622.54656089479,24746.543378701226,69991.6365004908,24746.543378701226,Buyers
TGO,NE,2717.318768485779,2231.87158203125,3064.445238058069,3095.900836558938,11163.499757862239,6133.308484604177,23.592317040502294,NA,6.258382183096456,2369.311269668868,6562.316906162121,11300.939445499856,6562.316906162121,Buyers
UMI,NE,287225.7571118108,869046.86962890625,324763.6441800042,93882.27028823063,186759.73229886658,107354.34211541055,2.3822168606045797,NA,6.258382183096456,1210017.4331544386,-1892304.5704844783,527730.295824399,527730.295824399,Sellers
SPM,NW,1786.1710946666149,2086.928466796875,2207.8514803953112,4615.475101963394,229372.4365252371,6623.385241370461,208.1564703105286,NA,2.0326589616219333,5751.010145584646,221534.4979128556,233036.51820402488,221534.4979128556,Buyers
NGA,NE,55608.85197310035,114540.92993164062,61412.63030211785,43795.75170680697,73760.49804173857,49136.01316640311,2.0965917383965764,NA,6.258382183096456,73930.89623370246,-114711.32812360451,33150.4643438004,33150.4643438004,Sellers
PRI,NW,20152.434846769174,32968.310302734375,23344.97438839181,38498.62344107827,72004.91331551966,43954.029634974926,2.2164278511267836,NA,2.0326589616219333,37291.54465782848,1745.0583549568037,76328.14767061378,1745.0583549568037,Buyers
REU,SE,0,0,NA,75048.16187590439,128212.8948157016,85730.49634528431,1.8643343453399555,NA,0.49235518236642634,36950.35142667599,91262.54338902561,165163.2462423776,91262.54338902561,Buyers
MOZ,SE,0,0,NA,142453.89652827397,372472.30438189034,154951.31509659896,3.391173197363062,NA,0.49235518236642634,70137.91420398635,302334.390177904,442610.2185858767,302334.390177904,Buyers
GUM,NE,126357.34136373436,335229.1201171875,155895.15650006817,46199.816922076214,90330.29104401985,56963.090423001144,2.209773464999821,NA,6.258382183096456,501656.422806792,-746555.2518799596,256757.59373362438,256757.59373362438,Sellers
VEN,NW,98398.34334686844,173152.20288085938,107546.47928948616,105848.67563405402,188430.84831723312,116513.831778984,2.068045119847221,NA,2.0326589616219333,15143.984690609,134.6607457647424,30422.630126982753,134.6607457647424,Buyers
TUV,SE,0,0,NA,117435.92647245887,362980.7442833484,152599.58642321947,3.987854201120921,NA,0.49235518236642634,57820.186994717726,305160.55728863063,420800.9312780661,305160.55728863063,Buyers
MDV,NE,314580.59350365057,757852.96923828125,380653.1912712421,160197.1614401269,336423.10962275736,196516.76320451777,2.3535498951163967,NA,6.258382183096456,966190.5205916387,-1387620.3802071626,544760.6609761149,544760.6609761149,Sellers
MTQ,NW,7951.955881592159,13688.159912109375,8908.566105432326,12728.455903229013,23945.948206457644,14854.668733827853,2.283407405265576,NA,2.0326589616219333,9708.995574167508,548.7927201807615,19966.783868515777,548.7927201807615,Buyers
MDV,SE,0,0,NA,52675.93957998225,101875.62252083568,67660.40523289378,2.139827088281722,NA,0.49235518236642634,25935.271838225017,75940.35068261066,127810.8943590607,75940.35068261066,Buyers
KIR,SE,0,0,NA,119925.48321564546,714957.712602225,144540.8971184128,7.1539805028099295,NA,0.49235518236642634,59045.933159020926,655911.779443204,774003.645761246,655911.779443204,Buyers
ASM,SW,0,0,NA,79476.15450433569,195293.14673646173,104801.9397466774,2.9412688504243847,NA,0.3494474080244459,27772.736191290496,167520.41054517124,223065.88292775222,167520.41054517124,Buyers
BES,NW,5484.166147876149,10143.3583984375,5997.755437687124,4217.414753278161,7658.979691258575,5997.755437687124,1.9612204239706867,NA,2.0326589616219333,2574.8735743766824,-5059.252281555608,90.49486719775814,90.49486719775814,Sellers
TUV,SW,0,0,NA,33194.005988863544,64067.46486267371,42621.6493896597,2.0536996181124105,NA,0.3494474080244459,11599.5593547563,52467.905507917414,75667.02421743001,52467.905507917414,Buyers
GNQ,SE,0,0,NA,61402.80550020632,126172.48352688615,67619.22104529772,2.2251575125807004,NA,0.49235518236642634,30231.98949986429,95940.49402702186,156404.47302675043,95940.49402702186,Buyers
COM,SE,0,0,NA,43502.96539749284,101641.64635727987,48239.666140949084,2.7893817684677367,NA,0.49235518236642634,21418.91046176292,80222.73589551695,123060.55681904279,80222.73589551695,Buyers
SYC,SE,0,0,NA,302796.30812892714,939063.3020058769,333178.8148639327,3.6323282210960897,NA,0.49235518236642634,149083.33150869855,789979.9704971784,1088146.6335145754,789979.9704971784,Buyers
GIN,NW,0,0,NA,23592.383852522038,62262.07934894622,27398.6360958532,3.1730201210555973,NA,2.0326589616219333,47955.270463853514,14306.808885092709,110217.34981279974,14306.808885092709,Buyers
FRA,NW,0,0,NA,167071.34179953614,594150.9529541989,189507.06938582208,4.305822926138896,NA,2.0326589616219333,339599.06013902824,254551.8928151707,933750.0130932272,254551.8928151707,Buyers
GNB,NW,0,0,NA,27000.960855586723,92166.70442715914,30296.849536004564,4.711404800269845,NA,2.0326589616219333,54883.745055511376,37282.95937164777,147050.44948267052,37282.95937164777,Buyers
MDG,SE,0,0,NA,303085.2061608247,1195507.9996817992,331737.86843572016,4.9043307373767275,NA,0.49235518236642634,149225.57195187875,1046282.4277299205,1344733.571633678,1046282.4277299205,Buyers
VIR,NW,0,0,NA,10380.400575855461,26895.34185585464,11748.842003491425,2.878360201620652,NA,2.0326589616219333,21099.81425573808,5795.5276001165585,47995.15611159272,5795.5276001165585,Buyers
DMA,NW,0,0,NA,8227.567623367424,21186.28738888714,11863.671471323309,2.9830743722565454,NA,2.0326589616219333,16723.839061988267,4462.448326898873,37910.12645087541,4462.448326898873,Buyers
KIR,SW,0,0,NA,421514.5313483166,1420281.3372156818,486608.78009266534,3.8383555649188263,NA,0.3494474080244459,147297.16042430827,1272984.1767913736,1567578.49763999,1272984.1767913736,Buyers
KIR,NW,0,0,NA,136487.13192590486,431550.2374614551,150510.44902732942,3.5916440336015656,NA,2.0326589616219333,277431.7918552656,154118.4456061895,708982.0293167208,154118.4456061895,Buyers
NRU,NE,86453.20948824982,311571.3466796875,104601.94272636143,28451.340317168557,88155.32074857829,36912.212536445106,3.376183617014671,NA,6.258382183096456,362997.86460658663,-586413.8905376958,139581.83867547743,139581.83867547743,Sellers
MHL,NE,1359178.3265390145,5351711.146972656,1593767.2329088799,444378.6236517667,1499941.5612768813,520218.54584455665,3.669162083847855,NA,6.258382183096456,5725166.161651484,-9576935.747347258,1873396.5759557087,1873396.5759557087,Sellers
PLW,NE,389294.97924899636,1579015.1328125,476790.5815774046,135506.56897427613,471843.13274733356,168062.36872504608,3.805107927783253,NA,6.258382183096456,1588304.8651396828,-2695476.8652048493,481132.86507451633,481132.86507451633,Sellers
ECU,SW,0,0,NA,145482.47199135405,1818201.209328864,159824.01290609365,27.32193392273451,NA,0.3494474080244459,50838.47275036772,1767362.7365784962,1869039.6820792318,1767362.7365784962,Buyers
WLF,SE,0,0,NA,647.7930062516511,1862.5059960937501,2995.8759605716064,2.8751560731889314,NA,0.49235518236642634,318.94424372872726,1543.5617523650228,2181.450239822477,1543.5617523650228,Buyers
NRU,SE,0,0,NA,42301.684806277786,147537.6831572931,55355.63680162679,3.813456925019513,NA,0.49235518236642634,20827.453737201984,126710.22942009111,168365.13689449508,126710.22942009111,Buyers
SLB,SE,0,0,NA,317525.13031961845,1696587.6423685907,380708.156195536,6.053433924746372,NA,0.49235518236642634,156335.14344443902,1540252.4989241518,1852922.7858130296,1540252.4989241518,Buyers
LCA,NW,0,0,NA,2266.327548269166,7402.825739136946,2989.645503584728,3.266441227699241,NA,2.0326589616219333,4606.671000959985,2796.1547381769615,12009.49674009693,2796.1547381769615,Buyers
ECU,NW,0,0,NA,121990.18095081499,1407081.2461006474,135236.3512489685,26.83973613274181,NA,2.0326589616219333,247964.43453955534,1159116.811561092,1655045.6806402027,1159116.811561092,Buyers
IRN,NE,2314.8160771302805,8084.98193359375,2807.3209579002996,34204.51320938167,5626104.204583502,44759.455507564744,882.1674646177141,NA,6.258382183096456,199577.91235682426,5418441.310293084,5817597.135006733,5418441.310293084,Buyers
BRN,NE,2436.7727610331062,8821.5146484375,3061.8883596615547,10195.590744103489,420946.33681568044,15291.784768752223,100.77391700720122,NA,6.258382183096456,48557.648227136066,363567.1739401069,460682.470394379,363567.1739401069,Buyers
FSM,NE,589905.7148149181,3209527.9520454914,702012.1491284637,589905.7148149181,3210354.06759933,738616.7088165764,6.330624659471248,NA,6.258382183096456,0,826.1155538386665,826.1155538386665,826.1155538386665,Buyers
CIV,NW,0,0,NA,42639.94546702965,188254.07456793892,49176.72300579967,5.162883732646163,NA,2.0326589616219333,86672.46727662835,101581.60729131057,274926.5418445673,101581.60729131057,Buyers
SEN,NW,0,0,NA,35351.22860965682,173866.23122996165,38944.10909296387,5.917058445218311,NA,2.0326589616219333,71856.991637764615,102009.23959219703,245723.22286772626,102009.23959219703,Buyers
