iso3,iso3n,ecoregion,eco_code,province,pro_code,realm,rlm_code
COL,170,Greater Antilles,20065,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
CUB,192,Greater Antilles,20065,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
CYM,136,Greater Antilles,20065,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
DOM,214,Greater Antilles,20065,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
HND,340,Greater Antilles,20065,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
HTI,332,Greater Antilles,20065,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
JAM,388,Greater Antilles,20065,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
MEX,484,Greater Antilles,20065,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
PRI,630,Greater Antilles,20065,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
USA,840,Greater Antilles,20065,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
VEN,862,Greater Antilles,20065,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
VIR,850,Greater Antilles,20065,Tropical Northwestern Atlantic,12,Tropical Atlantic,4
ECU,218,Guayaquil,20171,Tropical East Pacific,43,Tropical Eastern Pacific,8
PER,604,Guayaquil,20171,Tropical East Pacific,43,Tropical Eastern Pacific,8
BRA,76,Guianan,20071,North Brazil Shelf,13,Tropical Atlantic,4
GUF,254,Guianan,20071,North Brazil Shelf,13,Tropical Atlantic,4
GUY,328,Guianan,20071,North Brazil Shelf,13,Tropical Atlantic,4
SUR,740,Guianan,20071,North Brazil Shelf,13,Tropical Atlantic,4
TTO,780,Guianan,20071,North Brazil Shelf,13,Tropical Atlantic,4
VEN,862,Guianan,20071,North Brazil Shelf,13,Tropical Atlantic,4
DJI,262,Gulf of Aden,20089,Red Sea and Gulf of Aden,18,Western Indo-Pacific,5
ERI,232,Gulf of Aden,20089,Red Sea and Gulf of Aden,18,Western Indo-Pacific,5
OMN,512,Gulf of Aden,20089,Red Sea and Gulf of Aden,18,Western Indo-Pacific,5
SOM,706,Gulf of Aden,20089,Red Sea and Gulf of Aden,18,Western Indo-Pacific,5
YEM,887,Gulf of Aden,20089,Red Sea and Gulf of Aden,18,Western Indo-Pacific,5
USA,840,Gulf of Alaska,20054,Cold Temperate Northeast Pacific,10,Temperate Northern Pacific,3
