iso3,realm,mkt_tb,mkt_tc,mkt_area,bau_tb,bau_tc,bau_area,mc_stop,pct_protected,trading_price,rect,mkt_tc_b,mkt_tc_s,savings,transaction
ESP,Temperate Northern Atlantic,462374.1054786735,6887574.659393311,550557.1891030122,319639.03065705235,2930551.8078662446,380615.02920868085,16.46287001788067,NA,55.730258045210455,7954662.551911367,-11911685.403438434,3997639.700384301,3997639.700384301,Sellers
BEN,Tropical Atlantic,25064.128629142648,11126.265441894531,27613.958165177868,15960.009350356973,4409.635348489577,18413.879424717783,0.4664837495369954,NA,2.5251441499521925,22989.21353729262,-29705.843630697575,16272.583443887666,16272.583443887666,Sellers
COD,Tropical Atlantic,8354.02768067918,1992.7722473144531,9171.259344304224,4372.235036256036,603.2495989855688,6112.159540499396,0.13928047749206612,NA,2.5251441499521925,10054.600402387774,-11444.123050716658,8665.07775405889,8665.07775405889,Sellers
TLS,Central Indo-Pacific,10355.191058771929,14267.487884521484,12141.254816064715,29153.199373764182,381714.8639804579,33390.19308655165,25.80741156101952,NA,7.214766619540059,135623.2429048426,231824.1331910938,503070.619000779,231824.1331910938,Buyers
GTM,Tropical Eastern Pacific,56160.16156883338,24926.16146850586,69166.43082545865,36530.310436636406,9043.643036956551,48108.88800682785,0.35364173918081315,NA,2.597237028921603,50983.37623276063,-66865.89466430993,35100.85780121132,35100.85780121132,Sellers
VCT,Tropical Atlantic,8034.867149965102,6267.341247558594,8999.407542852456,12101.876418001624,19753.399373169443,14984.92900700879,3.694485175583261,NA,2.5251441499521925,10269.784660983772,3216.2734646270765,23755.84278659462,3216.2734646270765,Buyers
FJI,Central Indo-Pacific,654948.0729530726,544555.8262634277,738453.590592202,358731.6562369354,136938.94342737767,404656.0544250712,0.5703555149669831,NA,7.214766619540059,2137132.3154833545,-2544749.1983194044,1729515.4326473044,1729515.4326473044,Sellers
WSM,Eastern Indo-Pacific,55961.13229082466,19648.91046142578,71883.44703007958,44282.14909459259,10689.972898744929,56894.33338328771,0.2989187857213135,NA,2.5389506206626393,29652.361634781944,-38611.299197462795,20693.424072101094,20693.424072101094,Sellers
LBR,Tropical Atlantic,147244.1712965344,51065.809143066406,162703.9922638149,92601.61445294908,24700.862165081002,104409.29137055096,0.3402791790361347,NA,2.5251441499521925,137980.33275200956,-164345.27972999497,111615.38577402415,111615.38577402415,Sellers
GLP,Tropical Atlantic,52155.93918893855,28651.702392578125,58854.120487899076,32514.984982517715,11439.86550888218,38245.32083932236,0.6156502128111055,NA,2.5251441499521925,49596.24061382248,-66808.07749751843,32384.403730126538,32384.403730126538,Sellers
FJI,Eastern Indo-Pacific,155554.85366275124,100020.13299560547,197968.7807357615,87680.0630354849,36615.552479941645,113942.53271625102,0.552056391456699,NA,2.5389506206626393,172330.74179044456,-235735.32230610837,108926.16127478074,108926.16127478074,Sellers
CRI,Tropical Atlantic,19150.57217523164,8786.195007324219,24173.422300646125,10721.806969702251,2843.5563297979957,15097.712361508518,0.3398729836242241,NA,2.5251441499521925,21283.84715006312,-27226.485827589342,15341.208472536897,15341.208472536897,Sellers
GUF,Tropical Atlantic,42904.73455116661,34924.473571777344,48845.96562241626,42433.78522462745,33974.791607514584,48845.96562241626,2.0165268548988644,NA,2.5251441499521925,1189.2149368342966,-2138.8969010970563,239.53297257153463,239.53297257153463,Sellers
PAK,Western Indo-Pacific,80086.34030973673,36094.49981689453,96172.24156534798,73424.4639254042,29586.898005865893,90525.21110820492,0.834988962939851,NA,5.175767795450372,34480.32524729967,-40987.92705832831,27972.72343627103,27972.72343627103,Sellers
NIC,Tropical Eastern Pacific,28283.70053771225,16381.944946289062,33248.67473911374,21535.516540662662,8898.193851623546,27216.946608394734,1.0293469106923083,NA,2.597237028921603,17526.633355113383,-25010.3844497789,10042.882260447866,10042.882260447866,Sellers
PRK,Temperate Northern Pacific,38355.90968136605,202856.41705322266,47001.117873048526,42399.90541015685,303144.53160425555,54125.677892056716,28.759572896793415,NA,18.086693979511814,73142.51320109199,27145.601349940902,173430.62775212488,27145.601349940902,Buyers
WLF,Central Indo-Pacific,2413.5643748231882,664.2955322265625,2976.5055765848274,989.561393677507,272.36116821289056,2976.5055765848274,0.2752342299861909,NA,7.214766619540059,10273.849174495394,-10665.783538509066,9881.914810481721,9881.914810481721,Sellers
BRA,Tropical Atlantic,526740.849774884,893399.6661987305,608200.6693575685,925572.3841819752,2155089.5656194594,1083546.2973258244,3.7802613458984347,NA,2.5251441499521925,1007107.115924523,254582.78349620593,2268797.015345252,254582.78349620593,Buyers
LBY,Temperate Northern Atlantic,204051.311372115,1462431.4646606445,267349.82811935706,115134.2510489065,102799.16711293477,154493.03494624142,2.5343636562995577,NA,55.730258045210455,4955370.716433953,-6315003.013981663,3595738.418886243,3595738.418886243,Sellers
PER,Tropical Eastern Pacific,79909.24073590121,49306.80041503906,91996.14696225851,36504.36393234506,17495.13428583452,42940.60281357289,0.5530715815739659,NA,2.597237028921603,112732.75326997638,-144544.41939918092,80921.08714077184,80921.08714077184,Sellers
PER,Temperate South America,409574.86111909855,263871.18994140625,463673.3492688372,252757.36284262643,129688.9511334532,283871.59317545267,0.6096204971614043,NA,4.139293915525244,649113.7164636916,-783295.9552716446,514931.4776557385,514931.4776557385,Sellers
COL,Tropical Eastern Pacific,218830.65131703886,184202.2772216797,251792.92801768341,112898.90842220496,70359.24255069038,132045.35105430716,0.7837156583421534,NA,2.597237028921603,275129.8451846656,-388972.8798556549,161286.81051367626,161286.81051367626,Sellers
MEX,Tropical Eastern Pacific,246240.3039223001,132352.44023174915,507764.63943979255,246240.3039223002,257205.88331306571,281419.1606325454,1.4263347175248764,NA,2.597237028921603,2.2676863843705534e-10,124853.44308131633,124853.4430813168,124853.44308131633,Buyers
MEX,Temperate Northern Pacific,458736.8084770246,1498568.7133789062,521068.3278358466,310501.8203132214,573732.8845908351,353421.57273494813,3.6964730732303934,NA,18.086693979511814,2681080.867975264,-3605916.696763335,1756245.0391871927,1756245.0391871927,Sellers
LKA,Western Indo-Pacific,119752.02974318466,303472.4395751953,140467.7184464881,183620.35920622802,644841.7574846485,216969.36940693273,5.462675004046256,NA,5.175767795450372,330567.642784034,10801.675125419162,671936.9606934872,10801.675125419162,Buyers
TZA,Western Indo-Pacific,161756.61445069328,172413.24645996094,173975.54914267678,90121.23516651777,57560.70216743385,97755.67376126708,0.73301811305411535,NA,5.175767795450372,370768.0891139083,-485620.6334064354,255915.54482138122,255915.54482138122,Sellers
GRD,Tropical Atlantic,5407.547032727585,3015.2288818359375,6009.53509882476,9800.43489318586,140058.44223774853,12007.290536511884,76.62218708452649,NA,2.5251441499521925,11092.675082232217,125950.53827368037,148135.88843814482,125950.53827368037,Buyers
MEX,Tropical Atlantic,119496.60088104017,192190.29638671875,148120.8347780447,242025.2504763246,631459.1605260546,301587.2483808955,4.733761700277272,NA,2.5251441499521925,309402.5027270746,129866.3614122612,748671.3668664105,129866.3614122612,Buyers
NCL,Central Indo-Pacific,758205.6125579326,992790.8580322266,837726.2987503391,408196.8308884571,350645.1915721477,453658.5423727598,1.0030666991814081,NA,7.214766619540059,2525231.6745348168,-3167377.3409948954,1883086.0080747379,1883086.0080747379,Sellers
UMI,Eastern Indo-Pacific,595155.9482422557,1189552.5939941406,667671.1083198908,610146.0142274973,1228007.0404310534,685680.7061650377,2.590265515697003,NA,2.5389506206626393,38059.03733700296,395.4090999097898,76513.4837739158,395.4090999097898,Buyers
SLV,Tropical Eastern Pacific,48280.736813752046,41967.43017578125,57290.69724569235,30719.52920437841,22860.473743559523,36199.639267718376,0.8622571102893489,NA,2.597237028921603,45610.61867564503,-64717.57510786676,26503.662243423307,26503.662243423307,Sellers
MMR,Western Indo-Pacific,112259.897979713,247428.2606201172,138654.69103828195,151507.45336240067,884307.8445848008,192288.2137089946,46.69526878426051,NA,5.175767795450372,203136.23319986975,433743.35076481383,840015.8171645533,433743.35076481383,Buyers
EGY,Western Indo-Pacific,4421.8598208216645,4596.77099609375,5523.241388387915,21767.617799948122,3574751.3477870272,27805.445001763354,318.02757641747155,NA,5.175767795450372,89777.61553603904,3480376.9612548943,3659932.1923269727,3480376.9612548943,Buyers
BRA,Temperate South America,148313.8017820542,367125.6474609375,174804.03068913086,218494.9649958265,830959.0950042403,258187.14138068823,12.442854953635297,NA,4.139293915525244,290500.4618752519,173332.98566805088,754333.9094185547,173332.98566805088,Buyers
BGD,Western Indo-Pacific,18918.51596582095,36680.36975097656,23266.903243730812,32995.15338638368,13860118.88259191,43547.53026716132,3810.3919853067505,NA,5.175767795450372,72857.40662958019,13750581.106211353,13896295.919470515,13750581.106211353,Buyers
TGO,Tropical Atlantic,2717.318768485779,2231.87158203125,3064.445238058069,4533.283367818445,45074.68414381624,6133.308484604177,23.592317040502294,NA,2.5251441499521925,4585.57238452516,38257.240177259824,47428.38494631015,38257.240177259824,Buyers
MEX,Temperate Northern Atlantic,49829.90147130285,332976.7297363281,61435.25639007254,29667.226486856824,78055.98916518132,39099.85254387276,4.017184128995003,NA,55.730258045210455,1123671.0797648868,-1378591.8203360336,868750.3391937399,868750.3391937399,Sellers
USA,Temperate Northern Atlantic,581073.0121036335,4371811.3662109375,648752.020056021,470010.4143840188,1795072.675159073,528279.1162278354,10.363756822738154,NA,55.730258045210455,6189547.230085528,-8766285.921137393,3612808.539033664,3612808.539033664,Sellers
